timestamp,m00,m01,m02,m10,m11,m12,m20,m21,m22
0.000000,1328.086426,0.000000,966.403320,0.000000,1328.086426,719.599182,0.000000,0.000000,1.000000
0.016674,1328.119141,0.000000,966.370911,0.000000,1328.119141,719.592896,0.000000,0.000000,1.000000
0.033347,1328.145874,0.000000,966.402161,0.000000,1328.145874,719.564270,0.000000,0.000000,1.000000
0.050021,1328.148804,0.000000,966.381226,0.000000,1328.148804,719.581482,0.000000,0.000000,1.000000
0.066695,1328.145874,0.000000,966.370667,0.000000,1328.145874,719.574646,0.000000,0.000000,1.000000
0.083368,1328.086426,0.000000,966.377136,0.000000,1328.086426,719.629517,0.000000,0.000000,1.000000
0.100042,1328.056519,0.000000,966.373291,0.000000,1328.056519,719.584106,0.000000,0.000000,1.000000
0.116716,1328.107178,0.000000,966.373962,0.000000,1328.107178,719.589233,0.000000,0.000000,1.000000
0.133389,1328.119141,0.000000,966.370544,0.000000,1328.119141,719.589905,0.000000,0.000000,1.000000
0.150063,1328.145874,0.000000,966.356323,0.000000,1328.145874,719.580933,0.000000,0.000000,1.000000
0.166737,1328.098267,0.000000,966.360779,0.000000,1328.098267,719.605225,0.000000,0.000000,1.000000
0.183411,1328.074463,0.000000,966.365723,0.000000,1328.074463,719.575195,0.000000,0.000000,1.000000
0.200084,1328.086426,0.000000,966.367798,0.000000,1328.086426,719.580383,0.000000,0.000000,1.000000
0.216758,1328.098267,0.000000,966.366638,0.000000,1328.098267,719.585571,0.000000,0.000000,1.000000
0.233432,1328.116211,0.000000,966.385559,0.000000,1328.116211,719.610840,0.000000,0.000000,1.000000
0.250105,1328.134033,0.000000,966.344543,0.000000,1328.134033,719.585571,0.000000,0.000000,1.000000
0.266779,1328.098267,0.000000,966.364380,0.000000,1328.098267,719.583557,0.000000,0.000000,1.000000
0.283453,1328.107178,0.000000,966.385681,0.000000,1328.107178,719.600220,0.000000,0.000000,1.000000
0.300126,1328.116211,0.000000,966.333740,0.000000,1328.116211,719.546997,0.000000,0.000000,1.000000
0.316800,1328.140015,0.000000,966.309326,0.000000,1328.140015,719.581848,0.000000,0.000000,1.000000
0.333474,1328.104248,0.000000,966.324219,0.000000,1328.104248,719.606018,0.000000,0.000000,1.000000
0.350147,1328.083374,0.000000,966.318481,0.000000,1328.083374,719.592957,0.000000,0.000000,1.000000
0.366821,1328.116211,0.000000,966.288391,0.000000,1328.116211,719.596985,0.000000,0.000000,1.000000
0.383495,1328.140015,0.000000,966.341125,0.000000,1328.140015,719.628479,0.000000,0.000000,1.000000
0.400168,1328.113159,0.000000,966.309448,0.000000,1328.113159,719.590820,0.000000,0.000000,1.000000
0.416842,1328.113159,0.000000,966.322021,0.000000,1328.113159,719.572693,0.000000,0.000000,1.000000
0.433516,1328.089355,0.000000,966.336548,0.000000,1328.089355,719.546387,0.000000,0.000000,1.000000
0.450189,1328.083374,0.000000,966.319397,0.000000,1328.083374,719.518188,0.000000,0.000000,1.000000
0.466863,1328.119141,0.000000,966.353699,0.000000,1328.119141,719.523438,0.000000,0.000000,1.000000
0.483537,1328.125000,0.000000,966.320251,0.000000,1328.125000,719.543396,0.000000,0.000000,1.000000
0.500211,1328.116211,0.000000,966.295105,0.000000,1328.116211,719.530579,0.000000,0.000000,1.000000
