timestamp, frame, x, y, z, qx, qy, qz, qw
1127997.919508875, 000000, -0.16854763, -0.04351556, 0.880459, 0.9856134, -0.013674979, 0.16341434, 0.040926196
1127997.952856375, 000001, -0.16955622, -0.043647327, 0.87972826, 0.98559856, -0.013752005, 0.16343631, 0.04116965
1127997.986203958, 000002, -0.17024739, -0.043895356, 0.8790263, 0.9854777, -0.013493373, 0.16421865, 0.04103461
1127998.019551416, 000003, -0.17148528, -0.044724226, 0.8784611, 0.98535395, -0.012996567, 0.16494328, 0.041259766
1127998.052898833, 000004, -0.17239948, -0.045275502, 0.8777779, 0.98531556, -0.013020458, 0.16519924, 0.04114453
1127998.086246458, 000005, -0.1730072, -0.04563476, 0.8769451, 0.98537165, -0.013220239, 0.16473864, 0.04158187
1127998.119594, 000006, -0.17393, -0.04581235, 0.8765811, 0.9852816, -0.013303275, 0.16508617, 0.042306673
1127998.152941416, 000007, -0.1747276, -0.045947656, 0.87613153, 0.9851775, -0.01323863, 0.16559257, 0.042767506
1127998.186288833, 000008, -0.17536995, -0.046073403, 0.8755261, 0.98520887, -0.013228343, 0.16540188, 0.04278647
1127998.219636458, 000009, -0.17612806, -0.045474887, 0.8747737, 0.9851276, -0.013232737, 0.16585407, 0.0429054
1127998.252984, 000010, -0.17677611, -0.04555261, 0.8741159, 0.98495066, -0.013026724, 0.16690616, 0.04295172
1127998.286331416, 000011, -0.17732418, -0.045811936, 0.8733758, 0.9848113, -0.013039877, 0.16771899, 0.042975497
1127998.319678958, 000012, -0.17877908, -0.04595093, 0.87199533, 0.9846868, -0.01296177, 0.16831101, 0.04353397
1127998.3530265, 000013, -0.17944641, -0.04628527, 0.870845, 0.98450416, -0.01297194, 0.16919826, 0.044217512
1127998.386374, 000014, -0.18006657, -0.0466196, 0.86955667, 0.98430413, -0.01299523, 0.17028348, 0.044496045
1127998.4197215, 000015, -0.18071552, -0.046947174, 0.86819154, 0.9841165, -0.013003177, 0.17133833, 0.044595636
1127998.453069041, 000016, -0.18194366, -0.047468677, 0.86706257, 0.9839422, -0.013208763, 0.17219527, 0.04507704
1127998.486416541, 000017, -0.18276125, -0.04771646, 0.8655849, 0.98381203, -0.013394215, 0.17279264, 0.04557579
1127998.519764083, 000018, -0.18393432, -0.04777683, 0.86393887, 0.9836805, -0.013498495, 0.17344832, 0.045892432
1127998.553111666, 000019, -0.18486238, -0.0480326, 0.8621377, 0.98356014, -0.013484096, 0.17410144, 0.046002842
1127998.586459083, 000020, -0.18577935, -0.048433535, 0.86013883, 0.9834513, -0.0135649135, 0.17455518, 0.046583228
1127998.619806708, 000021, -0.18673158, -0.04894321, 0.85795754, 0.9833605, -0.013513316, 0.17492205, 0.04713442
1127998.653154208, 000022, -0.18673748, -0.04904642, 0.85544467, 0.9832775, -0.013590398, 0.1752245, 0.047717966
1127998.686501625, 000023, -0.18765819, -0.049608722, 0.852842, 0.983219, -0.013550073, 0.17539926, 0.04828845
1127998.71984925, 000024, -0.18870005, -0.050275363, 0.85014033, 0.98317724, -0.013624864, 0.17553961, 0.04860632
1127998.753196833, 000025, -0.19004722, -0.051170565, 0.84724885, 0.9831545, -0.013572693, 0.17568241, 0.0485677
